id,easeOfAssembly,valueForMoney,productQuality,appearance,worksAsExpected,overallRating,createdAt,iRecommendThisProduct,header,body
0,4,2,3,1,3,2,Tue Apr 14 2020 10:31:57 GMT-0700 (Pacific Daylight Time),false,totam enim maiores,Et qui provident nihil. Omnis modi quis. Similique facilis consectetur est voluptatibus perferendis et libero temporibus esse. Tempore sit animi temporibus voluptatem eligendi fugiat explicabo excepturi.ΣIpsa voluptatem non eum id nostrum nostrum. Suscipit eos impedit facere sunt est optio voluptas. Ex sit id laudantium perspiciatis fugiat. Nesciunt totam provident quaerat doloribus aperiam nisi maxime suscipit.ΣDolore aut molestias dolorem. Eligendi ratione maxime in sint nam explicabo incidunt. Quibusdam quis id temporibus. Quis in in mollitia qui. Tempora repellendus et pariatur corporis laborum. Quaerat aut nesciunt molestias illo tenetur dignissimos.Σ
0,5,2,2,1,3,2,Thu Oct 15 2020 21:20:11 GMT-0700 (Pacific Daylight Time),false,alias ut vero,Et voluptatum rerum et velit eveniet corrupti id dolore. Est error consequatur officiis earum in qui officia. Odio sit optio qui quo nulla quia ut quam. Nam pariatur aut.ΣQuaerat optio ea molestias qui dolores et cumque necessitatibus quod. Dolores labore occaecati dolores aspernatur. Doloremque repellendus est eum suscipit. Vitae qui qui. Illo et sit nam blanditiis cum unde corporis. Esse laudantium numquam rerum est iste ut non dolorum.ΣVoluptatem similique officia ut temporibus. Non a eum expedita quia. Aut excepturi voluptates ipsam quaerat adipisci. Deserunt earum est minus aut deserunt pariatur vero eveniet.Σ
0,4,4,4,4,5,3,Sat May 16 2020 14:48:46 GMT-0700 (Pacific Daylight Time),false,est temporibus id,Qui autem impedit velit ut. Quia omnis nihil numquam soluta et sit. Dicta excepturi omnis velit excepturi accusantium natus consequatur. Quas minus eaque cum debitis est.ΣNostrum eligendi iste eaque aspernatur id voluptas neque. Pariatur quae nulla voluptas officiis ea blanditiis laudantium sint. Similique eligendi vitae consequuntur in expedita. Eos inventore distinctio sed pariatur soluta culpa id.ΣProvident sint placeat. Veniam occaecati est sit. Est enim tenetur sit occaecati dolores ipsum. Aut aperiam ut animi aspernatur. Suscipit qui mollitia. Error cum ea error quia blanditiis.Σ
1,1,3,2,1,1,2,Fri Feb 21 2020 18:35:12 GMT-0800 (Pacific Standard Time),false,et pariatur possimus,Tenetur illum ratione est. Sapiente a placeat ut odio. Natus nam architecto vel qui placeat. Sunt asperiores necessitatibus vero est voluptatem et. Totam esse unde reprehenderit inventore.ΣQuaerat alias optio assumenda voluptatem consequatur sunt ut laborum adipisci. Sunt illum corporis. Odio magni similique. Officia earum voluptas maiores suscipit enim ut cupiditate et. Maiores nihil iure mollitia quod nostrum ut esse incidunt. Facilis quia numquam perspiciatis.ΣEligendi necessitatibus aspernatur voluptatibus ducimus nulla hic architecto. Cupiditate et magni. Nesciunt et aliquid expedita quisquam dolorum id hic deleniti sint. Dolorum excepturi pariatur quidem occaecati enim.Σ
1,5,1,4,2,3,3,Wed Dec 18 2019 09:05:27 GMT-0800 (Pacific Standard Time),true,ut incidunt qui,Magnam qui non nihil est omnis et. Qui at tempore quos aspernatur nisi. Ullam fuga facilis deleniti illo ut sed. Sed natus nihil qui tempore excepturi esse et. Animi quaerat minus dolores maiores neque laborum.ΣQuia atque expedita odio quod ullam debitis nam voluptatem. Quibusdam commodi est occaecati. Voluptatum aliquam quos. Tempore ut quo itaque aliquam quia et deserunt cum. Placeat iste omnis quas et enim sunt quia animi earum.ΣQui aut cum iste est aut omnis error sed soluta. Architecto quis ea perferendis aspernatur. Dolorum ipsum delectus et exercitationem consequatur. Vitae est nisi cum ducimus. Doloribus sunt minus libero rem quam ducimus velit.Σ
1,5,2,1,2,1,2,Fri Jun 19 2020 01:18:28 GMT-0700 (Pacific Daylight Time),false,pariatur pariatur dolore,Reiciendis harum quos perferendis est ea excepturi. Incidunt id qui. Cupiditate occaecati corrupti qui temporibus autem hic voluptatem consequatur soluta. In temporibus deserunt qui omnis architecto. Perferendis dignissimos neque aut velit et a sed. Doloribus beatae ut id hic harum excepturi.ΣAut fugiat ut ducimus ut nam sequi autem esse magni. Perspiciatis fuga dignissimos perspiciatis voluptatem est dolorem dignissimos. Quaerat est omnis facilis. Exercitationem sequi laboriosam.ΣDucimus nostrum a eum harum adipisci soluta aspernatur. Odit rerum rerum. Occaecati dolore quasi rerum debitis quis eum repellat accusantium adipisci. Eum laborum dignissimos iure. Aliquam est dolor pariatur minima deserunt voluptas praesentium.Σ
1,1,4,5,2,5,2,Sun Sep 13 2020 19:02:47 GMT-0700 (Pacific Daylight Time),true,sit dolor qui,Non qui omnis quaerat ducimus rerum. Fugiat earum dicta. A exercitationem error odit quo assumenda doloremque dolores quae eaque.ΣEt quasi ipsum sint aut aliquid. Molestias rerum voluptatem delectus impedit ducimus. Placeat est vel deserunt repellendus. Nobis ad qui natus repudiandae est quidem eaque officiis voluptate.ΣRem quia eos sint quo repellendus molestiae facilis ad. Sunt soluta dolor. Molestiae et qui aut.Σ
1,4,3,2,2,1,2,Sat Dec 28 2019 03:44:21 GMT-0800 (Pacific Standard Time),true,magni sint labore,Voluptatem aliquid expedita. Magni corrupti nisi et qui dolor eligendi et. Vel doloribus id rerum harum expedita molestiae sit. Mollitia non delectus illum. Aut alias voluptatibus. Ratione neque quibusdam fugit et ex minus.ΣAccusamus recusandae culpa totam qui ab. Occaecati vel ullam voluptatum. Sed laboriosam quo officiis doloribus distinctio cupiditate illo placeat odio.ΣMagnam iste et officia harum est asperiores impedit alias. Veniam debitis architecto culpa eaque quos. Est et non adipisci modi dolorem aspernatur sed quas accusamus. Nisi omnis sapiente qui magnam.Σ
2,4,3,1,5,2,3,Sat May 09 2020 04:18:18 GMT-0700 (Pacific Daylight Time),true,dolorum praesentium sed,Vitae ducimus nesciunt impedit. Autem iste accusamus eos placeat blanditiis. Provident possimus facere modi id tempore. Laborum a quia quis et. Hic ut optio dignissimos expedita. Voluptates sit inventore magnam odio quo temporibus.ΣOfficiis blanditiis culpa ut rem possimus qui. Iure mollitia pariatur voluptatum et voluptate ratione voluptatibus enim. Molestiae doloremque quam ullam.ΣAccusantium id ducimus sunt autem illum molestiae temporibus mollitia voluptatem. Fuga temporibus dignissimos. Est voluptas odio dolorem. Corporis qui aspernatur et ducimus ab qui.Σ
2,4,4,3,3,4,3,Sun Oct 20 2019 05:00:56 GMT-0700 (Pacific Daylight Time),true,ut eius incidunt,Omnis soluta assumenda aut illo magnam quis velit. Eum et in laudantium rerum vero iure hic neque fugit. Et autem fuga eum et ipsa in aliquid esse esse. Molestiae praesentium a sit error qui.ΣSit molestiae esse laborum aspernatur vel repellat amet est quia. Et id repellat. Corporis inventore itaque. Quae et vitae ipsa ut doloribus molestias nobis asperiores. Ullam rerum est qui qui distinctio.ΣDolores commodi quia vero molestiae ut esse. Autem corporis temporibus odit quos. Voluptatem dolores est quia sunt corporis doloribus saepe consequuntur eos. Veniam molestias qui minima autem.Σ
