title,description,originalPrice,salePrice,colors,sizes,liked,inStock,id
qui,Quae sit pariatur rerum ratione error incidunt officia.,425.00,425.00,"turquoise,cyan,cyan","Small,Medium",false,0,0
impedit,Itaque nisi non similique tempore hic dicta.,965.00,372.00,"turquoise,gold",Small,false,4996,1
inventore,Vitae ipsam et quisquam eveniet vitae omnis aut voluptatibus.,496.00,496.00,"silver,red,lime","Small,Medium",false,11901,2
porro,Sit distinctio pariatur rem ut cum voluptatibus.,833.00,721.00,"yellow,silver","Small,Medium",false,6839,3
maiores,Eaque perferendis sunt ut facere dignissimos ut.,342.00,342.00,"green,plum,black",,false,8554,4
ut,Necessitatibus eveniet suscipit reiciendis et accusantium nobis.,834.00,718.00,"azure,orchid,green",,false,14551,5
voluptatem,Vel omnis consectetur quos architecto dolorum quas aut.,453.00,453.00,,Small,false,2913,6
at,Beatae qui quis nobis iusto molestias ea.,974.00,897.00,,Small,false,381,7
unde,Et sequi aut perspiciatis.,925.00,925.00,gold,,false,3922,8
et,Dolor sit perspiciatis soluta sed ad quis accusantium recusandae.,333.00,102.00,,,false,0,9
